Академия детских открытийй;2017;1;1688
Вначале было слово;2017;2;1476
Мир искусства;2017;3;1476
Земля - наш общий дом;2017;4;1631
История нашей Победы;2017;5;3256
С Днем рождения, Артек!;2017;6;3256
Улыбка Саманты;2017;7;3472
Артек собирает друзей;2017;8;3472
Артек - перекресток возможностей;2017;9;3552
Школа размером с Артек;2017;10;3552
Кого мы назовем учителем;2017;11;3336
Будущее начинается сегодня;2017;12;1892
Артек информационный;2017;13;1892
Мир глазами детей;2017;14;1892
С Новым годом, Артек!;2017;15;1892
